Transcript stable ID	HGNC symbol
ENST00000361390	MT-ND1
ENST00000361453	MT-ND2
ENST00000361624	MT-CO1
ENST00000361739	MT-CO2
ENST00000361851	MT-ATP8
ENST00000361899	MT-ATP6
ENST00000362079	MT-CO3
ENST00000361227	MT-ND3
ENST00000361335	MT-ND4L
ENST00000361381	MT-ND4
ENST00000361567	MT-ND5
ENST00000361681	MT-ND6
ENST00000361789	MT-CYB
ENST00000576030	INTS3
ENST00000571768	INTS3
ENST00000575952	INTS3
ENST00000576422	INTS3
ENST00000575774	INTS3
ENST00000576641	INTS3
ENST00000575708	INTS3
ENST00000574879	INTS3
ENST00000573844	INTS3
ENST00000571829	INTS3
ENST00000623139	INTS3
ENST00000616520	KIR2DL3
ENST00000618567	KIR2DL4
ENST00000620501	KIR3DL2
ENST00000612483	KIR3DL2
ENST00000616175	KIR2DL1
ENST00000613869	KIR3DL1
ENST00000615036	KIR3DL1
ENST00000613265	KIR2DS3
ENST00000617100	KIR3DL3
ENST00000616375	KIR2DL4
ENST00000620369	KIR2DL4
ENST00000616831	KIR2DL2
ENST00000614792	KIR2DL3
ENST00000614190	KIR3DL3
ENST00000618297	KIR2DL4
ENST00000612415	KIR3DL1
ENST00000620450	KIR3DL1
ENST00000621002	KIR2DL4
ENST00000616384	KIR2DL4
ENST00000622350	KIR2DL4
ENST00000612879	KIR2DL4
ENST00000613442	KIR2DL4
ENST00000620905	KIR2DL4
ENST00000631244	PCMTD2
ENST00000629502	PCMTD2
ENST00000627852	PCMTD2
ENST00000627415	PCMTD2
ENST00000628846	PCMTD2
ENST00000625337	PCMTD2
ENST00000628717	PCMTD2
ENST00000629544	PCMTD2
ENST00000628501	PCMTD2
ENST00000631339	PCMTD2
ENST00000631154	PCMTD2
ENST00000615818	PCMTD2
ENST00000618274	PCMTD2
ENST00000611233	NCR1
ENST00000622104	NCR1
ENST00000612744	NCR1
ENST00000616389	NCR1
ENST00000621993	NCR1
ENST00000611122	NCR1
ENST00000612571	KIR3DL1
ENST00000614885	KIR3DP1
ENST00000622127	KIR2DS2
ENST00000616462	KIR2DS2
ENST00000611369	KIR2DL3
ENST00000621484	KIR2DL4
ENST00000613149	KIR2DL4
ENST00000614680	KIR2DL4
ENST00000615396	KIR2DL4
ENST00000621215	KIR2DL4
ENST00000610608	KIR2DL4
ENST00000615298	KIR2DL1
ENST00000622348	KIR2DL4
ENST00000619946	KIR2DL4
ENST00000614954	FCAR
ENST00000617762	FCAR
ENST00000622883	FCAR
ENST00000612952	FCAR
ENST00000613199	FCAR
ENST00000621684	FCAR
ENST00000619414	FCAR
ENST00000616248	FCAR
ENST00000613080	FCAR
ENST00000620162	FCAR
ENST00000610786	FCAR
ENST00000615040	FCAR
ENST00000622470	FCAR
ENST00000612069	KIR2DL1
ENST00000619211	KIR3DL1
ENST00000619277	KIR3DL1
ENST00000611230	KIR3DL1
ENST00000615600	OPRL1
ENST00000627060	OPRL1
ENST00000625570	OPRL1
ENST00000622560	KIR2DL2
ENST00000612646	NPBWR2
ENST00000621031	KIR2DL4
ENST00000619882	KIR2DL4
ENST00000618501	KIR2DL4
ENST00000622770	KIR2DL4
ENST00000618640	KIR2DL4
ENST00000616597	MYT1
ENST00000613234	MYT1
ENST00000630159	MYT1
ENST00000621996	MYT1
ENST00000616648	MYT1
ENST00000619476	KIR3DL1
ENST00000619074	KIR3DL3
ENST00000618796	KIR2DL2
ENST00000576342	GATAD2B
ENST00000614564	KIR2DL1
ENST00000617247	KIR2DL1
ENST00000618616	KIR3DL2
ENST00000615712	KIR3DL2
ENST00000576098	KRT20
ENST00000575828	KRT20
ENST00000617783	KIR2DS4
ENST00000618993	KIR3DL3
ENST00000621353	KIR3DL1
ENST00000617584	KIR3DL3
ENST00000571440	KRTAP3-1
ENST00000580358	KRTAP3-1
ENST00000615361	FCAR
ENST00000614689	FCAR
ENST00000613318	FCAR
ENST00000617256	FCAR
ENST00000622737	FCAR
ENST00000617778	FCAR
ENST00000614893	FCAR
ENST00000616046	FCAR
ENST00000610284	FCAR
ENST00000611130	FCAR
ENST00000619073	FCAR
ENST00000611871	FCAR
ENST00000622646	FCAR
ENST00000575409	KRTAP3-2
ENST00000613229	KIR3DL1
ENST00000574465	KRTAP4-9
ENST00000575439	SLC27A3
ENST00000623839	SLC27A3
ENST00000574889	SLC27A3
ENST00000575951	SLC27A3
ENST00000573307	SLC27A3
ENST00000570870	SLC27A3
ENST00000576845	SLC27A3
ENST00000574182	SLC27A3
ENST00000573411	SLC27A3
ENST00000575532	SLC27A3
ENST00000576109	SLC27A3
ENST00000573508	SLC27A3
ENST00000574381	SLC27A3
ENST00000631855	DNAH10
ENST00000632605	DNAH10
ENST00000631648	DNAH10
ENST00000633424	DNAH10
ENST00000633840	DNAH10
ENST00000631771	DNAH10
ENST00000572903	KRTAP2-4
ENST00000611311	KIR2DS4
ENST00000613666	KIR3DL3
ENST00000613321	KIR3DL3
ENST00000574480	KRT23
ENST00000571258	KRT23
ENST00000571504	KRT23
ENST00000579696	KRT23
ENST00000574395	KRT23
ENST00000581268	KRT23
ENST00000572233	KRT23
ENST00000577464	KRT23
ENST00000582651	KRT23
ENST00000621071	KIR3DL1
ENST00000619931	KIR3DL1
ENST00000620834	KIR3DL1
ENST00000615523	KIR3DL1
ENST00000611574	KIR3DL1
ENST00000620669	KIR2DS4
ENST00000615980	KIR2DS5
ENST00000612159	FCAR
ENST00000620397	FCAR
ENST00000615800	FCAR
ENST00000614202	FCAR
ENST00000614226	FCAR
ENST00000617025	FCAR
ENST00000614433	FCAR
ENST00000620956	FCAR
ENST00000615109	FCAR
ENST00000620270	FCAR
ENST00000612505	FCAR
ENST00000618328	FCAR
ENST00000618271	FCAR
ENST00000616310	KIR2DL1
ENST00000618394	KIR3DL3
ENST00000619473	KIR2DS2
ENST00000612933	KIR3DL1
ENST00000620703	KIR3DL1
ENST00000614018	KIR2DL5B
ENST00000612865	KIR2DL4
ENST00000614427	KIR2DL4
ENST00000620485	KIR3DL2
ENST00000615608	KIR3DL2
ENST00000618890	KIR3DS1
ENST00000611495	KIR2DS2
ENST00000621207	KIR2DS1
ENST00000614053	KIR2DS3
ENST00000618920	KIR3DL3
ENST00000617127	KIR2DL1
ENST00000615208	KIR3DL2
ENST00000617684	KIR3DL2
ENST00000613378	KIR2DS2
ENST00000611206	KIR2DL2
ENST00000610911	KIR2DL4
ENST00000619980	KIR2DL4
ENST00000610492	KIR2DL4
ENST00000611437	KIR2DL4
ENST00000613824	KIR2DL4
ENST00000617354	KIR3DL2
ENST00000612138	KIR3DL2
ENST00000620550	KIR3DL2
ENST00000616854	KIR3DL2
ENST00000617680	KIR3DL1
ENST00000619271	KIR3DL1
ENST00000613580	KIR2DL1
ENST00000610327	KIR2DL1
ENST00000620449	KIR2DL1
ENST00000632320	CCDC92
ENST00000632497	CCDC92
ENST00000632401	CCDC92
ENST00000631749	CCDC92
ENST00000614047	CCDC92
ENST00000633908	CCDC92
ENST00000633097	CCDC92
ENST00000633868	CCDC92
ENST00000631954	CCDC92
ENST00000614513	KIR2DS3
ENST00000617974	KIR2DL5A
ENST00000619698	KIR2DS3
ENST00000619848	KIR2DL4
ENST00000620959	KIR3DL1
ENST00000576064	KRT40
ENST00000576967	KRT40
ENST00000610983	KRT40
ENST00000614650	KIR2DL2
ENST00000610407	KIR2DL3
ENST00000611422	KIR2DL5A
ENST00000612594	KIR2DL2
ENST00000617853	KIR2DL3
ENST00000619637	KIR2DL4
ENST00000618955	KIR2DL4
ENST00000618013	KIR2DL4
ENST00000622024	KIR3DL2
ENST00000610507	KIR3DL2
ENST00000618607	KIR2DL4
ENST00000621258	KIR2DL4
ENST00000621773	KIR2DL4
ENST00000621182	KIR2DL4
ENST00000620926	KIR3DS1
ENST00000621225	KIR3DS1
ENST00000573871	KRTAP1-1
ENST00000611411	KIR2DL5B
ENST00000622882	KIR2DL4
ENST00000614599	KIR2DL4
ENST00000573418	KRTAP4-11
ENST00000575715	KRTAP1-3
ENST00000576939	KRTAP4-16
ENST00000617404	KIR2DL3
ENST00000572470	KRT12
ENST00000617330	KIR2DS3
ENST00000619702	KIR2DL3
ENST00000572212	KRTAP1-5
ENST00000575391	KRT39
ENST00000580328	KRT39
ENST00000577373	KRT39
ENST00000610716	KIR3DS1
ENST00000610591	KIR3DS1
ENST00000617919	KIR3DL3
ENST00000619479	KIR2DS5
ENST00000616780	NCR1
ENST00000617321	NCR1
ENST00000616935	NCR1
ENST00000614280	NCR1
ENST00000612194	NCR1
ENST00000622541	NCR1
ENST00000622515	KIR3DL1
ENST00000610920	KIR2DL5B
ENST00000611628	KIR3DL2
ENST00000613586	KIR3DL2
ENST00000610437	KIR3DL3
ENST00000620851	KIR3DL3
ENST00000571136	KRTAP2-1
ENST00000617413	KRTAP2-1
ENST00000611821	KIR2DL3
ENST00000612502	KIR3DL3
ENST00000572132	KRTAP3-3
ENST00000612504	KIR2DL1
ENST00000621701	KIR3DL2
