LI.M0	LI.M0-targets_of_FOSL1-2
LI.M1.0	LI.M1.0-integrin_cell_surface_interactions_(I)
LI.M1.1	LI.M1.1-integrin_cell_surface_interactions_(II)
LI.M2.0	LI.M2.0-extracellular_matrix_(I)
LI.M2.1	LI.M2.1-extracellular_matrix_(II)
LI.M2.2	LI.M2.2-extracellular_matrix_(III)
LI.M3	LI.M3-regulation_of_signal_transduction
LI.M4.0	LI.M4.0-cell_cycle_and_transcription
LI.M4.1	LI.M4.1-cell_cycle_(I)
LI.M4.2	LI.M4.2-PLK1_signaling_events
LI.M4.3	LI.M4.3-myeloid_cell_enriched_receptors_and_transporters
LI.M4.4	LI.M4.4-mitotic_cell_cycle_-_DNA_replication
LI.M4.5	LI.M4.5-mitotic_cell_cycle_in_stimulated_CD4_T_cells
LI.M4.6	LI.M4.6-cell_division_in_stimulated_CD4_T_cells
LI.M4.7	LI.M4.7-mitotic_cell_cycle
LI.M4.8	LI.M4.8-cell_division_-_E2F_transcription_network
LI.M4.9	LI.M4.9-mitotic_cell_cycle_in_stimulated_CD4_T_cells
LI.M4.10	LI.M4.10-cell_cycle_(II)
LI.M4.11	LI.M4.11-mitotic_cell_cycle_in_stimulated_CD4_T_cells
LI.M4.12	LI.M4.12-C-MYC_transcriptional_network
LI.M4.13	LI.M4.13-cell_junction_(GO)
LI.M4.14	LI.M4.14-Rho_GTPase_cycle
LI.M4.15	LI.M4.15-enriched_in_monocytes_(I)
LI.M5.0	LI.M5.0-regulation_of_antigen_presentation_and_immune_response
LI.M5.1	LI.M5.1-T_cell_activation_and_signaling
LI.M6	LI.M6-mitotic_cell_division
LI.M7.0	LI.M7.0-enriched_in_T_cells_(I)
LI.M7.1	LI.M7.1-T_cell_activation_(I)
LI.M7.2	LI.M7.2-enriched_in_NK_cells_(I)
LI.M7.3	LI.M7.3-T_cell_activation_(II)
LI.M7.4	LI.M7.4-T_cell_activation_(III)
LI.M8	LI.M8-E2F_transcription_factor_network
LI.M9	LI.M9-B_cell_development
LI.M10.0	LI.M10.0-E2F1_targets_(Q3)
LI.M10.1	LI.M10.1-E2F1_targets_(Q4)
LI.M11.0	LI.M11.0-enriched_in_monocytes_(II)
LI.M11.1	LI.M11.1-blood_coagulation
LI.M11.2	LI.M11.2-formyl_peptide_receptor_mediated_neutrophil_response
LI.M12	LI.M12-CD28_costimulation
LI.M13	LI.M13-innate_activation_by_cytosolic_DNA_sensing
LI.M14	LI.M14-T_cell_differentiation
LI.M15	LI.M15-Ran_mediated_mitosis
LI.M16	LI.M16-TLR_and_inflammatory_signaling
LI.M17.0	LI.M17.0-Hox_cluster_I
LI.M17.1	LI.M17.1-Hox_cluster_II
LI.M17.2	LI.M17.2-Hox_cluster_III
LI.M17.3	LI.M17.3-Hox_cluster_IV
LI.M18	LI.M18-T_cell_differentiation_via_ITK_and_PKC
LI.M19	LI.M19-T_cell_differentiation_(Th2)
LI.M20	LI.M20-AP-1_transcription_factor_network
LI.M21	LI.M21-cell_adhesion_(lymphocyte_homing)
LI.M22.0	LI.M22.0-mismatch_repair_(I)
LI.M22.1	LI.M22.1-mismatch_repair_(II)
LI.M23	LI.M23-RA,_WNT,_CSF_receptors_network_(monocyte)
LI.M24	LI.M24-cell_activation_(IL15,_IL23,_TNF)
LI.M25	LI.M25-TLR8-BAFF_network
LI.M26.0	LI.M26.0-TBA
LI.M26.1	LI.M26.1-TBA
LI.M26.2	LI.M26.2-TBA
LI.M27.0	LI.M27.0-chemokine_cluster_(I)
LI.M27.1	LI.M27.1-chemokine_cluster_(II)
LI.M28	LI.M28-antigen_presentation_(lipids_and_proteins)
LI.M29	LI.M29-proinflammatory_cytokines_and_chemokines
LI.M30	LI.M30-cell_movement,_Adhesion_&_Platelet_activation
LI.M31	LI.M31-cell_cycle_and_growth_arrest
LI.M32.0	LI.M32.0-platelet_activation_(I)
LI.M32.1	LI.M32.1-platelet_activation_(II)
LI.M32.2	LI.M32.2-CORO1A-DEF6_network_(I)
LI.M32.3	LI.M32.3-KLF12_targets_network
LI.M32.4	LI.M32.4-CORO1A-DEF6_network_(II)
LI.M32.5	LI.M32.5-TBA
LI.M32.6	LI.M32.6-TBA
LI.M32.7	LI.M32.7-TBA
