ID	Title	Category	Annotated	URL	Source	SourceID	original.ID	B
LI.M0	targets of FOSL1/2	TF targets	Yes	http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M0.htm	Li et al. 2013	LI	M0	12
LI.M1.0	integrin cell surface interactions (I)	molecular function	Yes	http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M1.0.htm	Li et al. 2013	LI	M1.0	29
LI.M1.1	integrin cell surface interactions (II)	molecular function	Yes	http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M1.1.htm	Li et al. 2013	LI	M1.1	12
LI.M2.0	extracellular matrix (I)	location	Yes	http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M2.0.htm	Li et al. 2013	LI	M2.0	30
LI.M2.1	extracellular matrix (II)	location	Yes	http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M2.1.htm	Li et al. 2013	LI	M2.1	45
LI.M2.2	extracellular matrix (III)	location	Yes	http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M2.2.htm	Li et al. 2013	LI	M2.2	14
LI.M3	regulation of signal transduction	signaling	Yes	http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M3.htm	Li et al. 2013	LI	M3	47
LI.M4.0	cell cycle and transcription	biological process	Yes	http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.0.htm	Li et al. 2013	LI	M4.0	335
LI.M4.1	cell cycle (I)	biological process	Yes	http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.1.htm	Li et al. 2013	LI	M4.1	145
LI.M4.2	PLK1 signaling events	signaling	Yes	http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.2.htm	Li et al. 2013	LI	M4.2	34
LI.M4.3	myeloid cell enriched receptors and transporters	immune	Yes	http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.3.htm	Li et al. 2013	LI	M4.3	31
LI.M4.4	mitotic cell cycle - DNA replication	biological process	Yes	http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.4.htm	Li et al. 2013	LI	M4.4	30
LI.M4.5	mitotic cell cycle in stimulated CD4 T cells	biological process	Yes	http://www.interactivefigures.com/meni/btm416_annotation/btmdata/M4.5.htm	Li et al. 2013	LI	M4.5	35
